ISBN,レーベル名,レーベル名カナ,タイトル,出版社名,出版社名カナ,作者名,作者名カナ,発売日,本体価格,版型
9784253100557,None,None,となりのロボット,秋田書店,アキタショテン,西UKO,ニシユウコ,2014-11-14,830,A5
9784781614427,None,None,さびしすぎてレズ風俗に行きましたレポ,イースト・プレス,イーストプレス,永田カビ,ナガタカビ,2016-06-30,925,A5
9784758070294,百合姫コミックス,ユリヒメコミックス,百合姫 Wildrose 2,一迅社,イチジンシャ,None,None,2008-07-18,848,A5
9784758070423,百合姫コミックス,ユリヒメコミックス,百合姫 Wildrose 3,一迅社,イチジンシャ,None,None,2009-04-18,848,A5
9784758073257,百合姫コミックス,ユリヒメコミックス,百合姫 Wildrose 8,一迅社,イチジンシャ,None,None,2014-07-18,852,A5
9784758077880,百合姫コミックス,ユリヒメコミックス,citrus コミックアンソロジー,一迅社,イチジンシャ,None,None,2018-02-16,852,A5
9784758079174,百合姫コミックス,ユリヒメコミックス,いちゃらぶしかない百合アンソロジーコミック,一迅社,イチジンシャ,None,None,2019-02-27,900,A5
9784758073332,百合姫コミックス,ユリヒメコミックス,philosophia,一迅社,イチジンシャ,天野しゅにんた,アマノシュニンタ,2014-08-19,926,A5
9784758071864,百合姫コミックス,ユリヒメコミックス,最低女神,一迅社,イチジンシャ,井村瑛,イムラエイ,2012-04-18,857,A5
9784758072984,百合姫コミックス,ユリヒメコミックス,イノセントノイズ,一迅社,イチジンシャ,井村瑛,イムラエイ,2014-04-18,926,A5
9784758071932,百合姫コミックス,ユリヒメコミックス,裸足のキメラ,一迅社,イチジンシャ,大北紘子,オオキタヒロコ,2012-05-18,857,A5
9784758072441,百合姫コミックス,ユリヒメコミックス,月と泥,一迅社,イチジンシャ,大北紘子,オオキタヒロコ,2013-05-18,857,A5
9784758073196,百合姫コミックス,ユリヒメコミックス,Vespa,一迅社,イチジンシャ,大北紘子,オオキタヒロコ,2014-06-19,926,A5
9784758071246,百合姫コミックス,ユリヒメコミックス,さよならフォークロア,一迅社,イチジンシャ,かずまこを,カズマコヲ,2010-11-18,857,A5
9784758072243,百合姫コミックス,ユリヒメコミックス,犬神さんと猫山さん 1,一迅社,イチジンシャ,くずしろ,クズシロ,2013-01-18,819,A5
9784758072793,百合姫コミックス,ユリヒメコミックス,犬神さんと猫山さん 2,一迅社,イチジンシャ,くずしろ,クズシロ,2013-11-18,819,A5
9784758072991,百合姫コミックス,ユリヒメコミックス,犬神さんと猫山さん 3,一迅社,イチジンシャ,くずしろ,クズシロ,2014-04-18,819,A5
9784758073981,百合姫コミックス,ユリヒメコミックス,犬神さんと猫山さん 4,一迅社,イチジンシャ,くずしろ,クズシロ,2015-03-18,819,A5
9784758074131,百合姫コミックス,ユリヒメコミックス,龍崎さんと虎生さん~百合姫短編集~,一迅社,イチジンシャ,くずしろ,クズシロ,2015-07-18,852,A5
9784758075411,百合姫コミックス,ユリヒメコミックス,犬神さんと猫山さん 5,一迅社,イチジンシャ,くずしろ,クズシロ,2016-06-18,819,A5
9784758076982,百合姫コミックス,ユリヒメコミックス,犬神さんと猫山さん 6,一迅社,イチジンシャ,くずしろ,クズシロ,2017-08-03,819,A5
9784758071550,百合姫コミックス,ユリヒメコミックス,水色エーテル,一迅社,イチジンシャ,黒霧操,クロキリミサオ,2011-07-16,857,A5
9784758073738,百合姫コミックス,ユリヒメコミックス,新装版 レンアイマンガ,一迅社,イチジンシャ,コダマナオコ,コダマナオコ,2014-11-18,926,A5
9784758071420,百合姫コミックス,ユリヒメコミックス,恋愛遺伝子XX 1,一迅社,イチジンシャ,蔵王大志,ザオウタイシ,2011-06-18,857,A5
9784758072892,百合姫コミックス,ユリヒメコミックス,恋愛遺伝子XX 2,一迅社,イチジンシャ,蔵王大志,ザオウタイシ,2014-01-18,857,A5
9784758072250,百合姫コミックス,ユリヒメコミックス,沼、暗闇、夜の森,一迅社,イチジンシャ,さかもと麻乃,サカモトマノ,2013-01-18,857,A5
9784758077736,百合姫コミックス,ユリヒメコミックス,私に体、売ってみない?,一迅社,イチジンシャ,真田ハイジ,サナダハイジ,2018-01-18,900,A5
9784758072649,百合姫コミックス,ユリヒメコミックス,citrus 1,一迅社,イチジンシャ,サブロウタ,サブロウタ,2013-07-18,857,A5
9784758072977,百合姫コミックス,ユリヒメコミックス,citrus 2,一迅社,イチジンシャ,サブロウタ,サブロウタ,2014-04-18,857,A5
9784758073721,百合姫コミックス,ユリヒメコミックス,citrus 3,一迅社,イチジンシャ,サブロウタ,サブロウタ,2014-11-18,852,A5
9784758074490,百合姫コミックス,ユリヒメコミックス,citrus 4,一迅社,イチジンシャ,サブロウタ,サブロウタ,2015-07-18,1800,A5
9784758075459,百合姫コミックス,ユリヒメコミックス,citrus 5,一迅社,イチジンシャ,サブロウタ,サブロウタ,2016-05-18,1200,A5
9784758076258,百合姫コミックス,ユリヒメコミックス,citrus 6,一迅社,イチジンシャ,サブロウタ,サブロウタ,2016-12-17,1200,A5
